               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.052219,             0.16897,            0.025459,             0.66396,             0.20761,             0.15586,            0.067877,            0.053495,             0.13872,            0.036064,           0.0092689,           0.0092689,           0.0092689
                  48,            0.051829,             0.16782,            0.025372,             0.66596,             0.20789,             0.15658,            0.068822,            0.054159,             0.13939,            0.036394,           0.0092377,           0.0092377,           0.0092377
                  49,            0.052099,             0.16604,            0.025732,              0.6843,             0.19431,             0.15326,            0.067538,            0.053332,              0.1396,            0.036713,           0.0092059,           0.0092059,           0.0092059
                  50,            0.051854,             0.16979,             0.02523,             0.66479,             0.21251,             0.15707,            0.068073,             0.05448,             0.13887,            0.036409,           0.0091735,           0.0091735,           0.0091735
                  51,            0.051415,             0.16937,            0.025138,             0.67233,             0.19276,             0.15439,            0.066847,            0.054279,             0.14049,            0.037819,           0.0091406,           0.0091406,           0.0091406
                  52,             0.05182,             0.16687,            0.024964,             0.67399,             0.20401,             0.15821,            0.069945,            0.053787,             0.13999,            0.036306,           0.0091071,           0.0091071,           0.0091071
                  53,            0.051591,             0.16925,            0.025224,             0.64983,             0.22752,             0.16016,            0.070495,            0.053691,             0.14167,             0.03755,            0.009073,            0.009073,            0.009073
                  54,            0.051607,             0.16802,            0.024788,             0.70158,              0.1579,              0.1534,            0.068532,            0.054433,             0.13796,            0.036457,           0.0090383,           0.0090383,           0.0090383
                  55,            0.051683,             0.16272,            0.024682,              0.6862,             0.17868,             0.15103,            0.065838,             0.05411,             0.14212,            0.037661,           0.0090031,           0.0090031,           0.0090031
                  56,            0.051661,              0.1711,            0.024731,             0.67985,               0.188,             0.15396,            0.068435,            0.053924,             0.14136,            0.036979,           0.0089673,           0.0089673,           0.0089673
                  57,            0.050755,             0.16272,            0.024729,             0.67277,             0.18566,              0.1455,            0.063828,            0.055216,              0.1411,            0.037395,            0.008931,            0.008931,            0.008931
                  58,            0.050691,             0.16581,            0.024492,             0.67403,             0.19422,             0.15282,            0.067579,            0.053988,             0.14374,            0.038145,           0.0088941,           0.0088941,           0.0088941
                  59,            0.051384,             0.16282,            0.024558,             0.68748,             0.18626,             0.15343,            0.068373,            0.053624,             0.14184,            0.037075,           0.0088567,           0.0088567,           0.0088567
                  60,            0.050687,             0.16609,            0.023973,             0.67571,             0.20042,              0.1566,            0.069115,            0.053663,             0.14162,            0.037424,           0.0088188,           0.0088188,           0.0088188
                  61,            0.051223,             0.16459,            0.023935,             0.67661,             0.17904,             0.15115,            0.065949,            0.054918,             0.14159,            0.038045,           0.0087804,           0.0087804,           0.0087804
                  62,             0.05096,             0.16713,            0.024455,             0.67838,             0.17259,              0.1532,            0.065703,             0.05488,             0.14065,            0.038011,           0.0087414,           0.0087414,           0.0087414
                  63,             0.05013,              0.1632,            0.023846,              0.6848,             0.17672,             0.15242,            0.066958,            0.053792,             0.14118,            0.036759,           0.0087019,           0.0087019,           0.0087019
                  64,            0.050806,             0.16427,             0.02405,             0.68361,             0.17961,              0.1505,            0.065459,            0.054461,             0.14483,            0.038558,           0.0086619,           0.0086619,           0.0086619
                  65,            0.050022,             0.16579,            0.024209,             0.68445,             0.18513,             0.15397,            0.068505,            0.053951,             0.14449,             0.03784,           0.0086214,           0.0086214,           0.0086214
                  66,            0.050111,             0.16496,            0.023488,             0.60454,             0.19116,             0.14729,            0.065195,            0.054154,             0.14209,            0.039417,           0.0085805,           0.0085805,           0.0085805
                  67,            0.050032,             0.16242,            0.024316,             0.50757,             0.21018,             0.14934,             0.06532,            0.054378,             0.14238,            0.038563,            0.008539,            0.008539,            0.008539
                  68,            0.050353,             0.16478,            0.023928,             0.64752,             0.16919,             0.15086,            0.066957,            0.054277,             0.14273,             0.03835,           0.0084971,           0.0084971,           0.0084971
                  69,            0.049722,             0.16239,            0.024008,             0.68516,             0.17403,             0.15649,             0.07108,             0.05298,             0.13979,             0.03777,           0.0084546,           0.0084546,           0.0084546
                  70,            0.049824,             0.16548,             0.02366,             0.56977,             0.21952,             0.14913,            0.064693,            0.054904,             0.14384,            0.039155,           0.0084118,           0.0084118,           0.0084118
                  71,            0.050339,              0.1658,            0.022896,             0.59576,             0.17728,              0.1434,            0.061443,            0.056051,             0.14219,             0.03872,           0.0083684,           0.0083684,           0.0083684
                  72,            0.049368,             0.16212,            0.023405,              0.6657,             0.18681,             0.14465,            0.064442,            0.054376,             0.14265,            0.039384,           0.0083246,           0.0083246,           0.0083246
                  73,            0.049632,             0.16105,            0.022833,             0.50374,             0.20397,             0.14983,            0.065834,            0.054581,             0.14504,            0.038972,           0.0082804,           0.0082804,           0.0082804
                  74,             0.04913,             0.16031,            0.022981,             0.60425,              0.1701,             0.14209,             0.06207,            0.054467,             0.14107,            0.040709,           0.0082357,           0.0082357,           0.0082357
                  75,            0.049463,             0.16383,            0.023086,             0.49461,             0.20894,             0.14216,            0.062936,            0.055325,             0.14291,            0.040715,           0.0081906,           0.0081906,           0.0081906
                  76,            0.049467,             0.16131,            0.022785,             0.49319,             0.19827,             0.14568,            0.064089,            0.054011,             0.14599,            0.039621,            0.008145,            0.008145,            0.008145
                  77,            0.049434,             0.16282,            0.022857,             0.58065,             0.21642,             0.14995,            0.066615,            0.054477,             0.14447,            0.040176,           0.0080991,           0.0080991,           0.0080991
                  78,            0.049324,             0.16312,            0.022882,             0.52586,             0.22872,             0.14714,            0.065263,             0.05471,              0.1468,            0.039323,           0.0080527,           0.0080527,           0.0080527
                  79,            0.048863,             0.16221,            0.022932,             0.50857,             0.21409,             0.14351,             0.06269,            0.054609,             0.14582,            0.039664,           0.0080059,           0.0080059,           0.0080059
                  80,            0.048936,             0.16131,            0.022578,             0.52229,             0.21314,             0.14163,            0.061769,            0.055926,             0.14603,            0.040891,           0.0079588,           0.0079588,           0.0079588
                  81,            0.048842,             0.16186,            0.022694,             0.53241,             0.20405,              0.1436,             0.06321,            0.055371,             0.14481,            0.040047,           0.0079112,           0.0079112,           0.0079112
                  82,            0.049789,             0.16151,            0.022272,             0.51452,             0.22355,             0.14605,            0.063845,            0.054709,             0.14843,            0.039625,           0.0078633,           0.0078633,           0.0078633
                  83,            0.048684,               0.157,            0.022601,             0.60158,             0.17324,             0.14182,            0.062253,            0.055069,             0.14491,            0.041089,            0.007815,            0.007815,            0.007815
                  84,            0.048584,             0.16368,            0.023075,             0.60929,              0.1933,             0.14923,            0.066254,            0.054296,             0.14491,            0.039687,           0.0077663,           0.0077663,           0.0077663
                  85,            0.048534,             0.16048,            0.022419,             0.51884,             0.23123,             0.14722,            0.064391,            0.054797,             0.14578,            0.040037,           0.0077173,           0.0077173,           0.0077173
                  86,            0.048571,             0.16103,            0.021758,             0.49036,             0.23343,             0.15052,            0.065816,            0.053946,             0.14527,            0.039489,           0.0076679,           0.0076679,           0.0076679
                  87,            0.047844,             0.15956,            0.022195,              0.4909,             0.26095,             0.15392,            0.068019,            0.054361,              0.1468,            0.038676,           0.0076182,           0.0076182,           0.0076182
                  88,            0.048572,             0.16454,            0.021592,             0.49729,             0.23351,             0.14725,            0.064778,            0.055526,             0.14632,            0.039992,           0.0075681,           0.0075681,           0.0075681
                  89,            0.048335,             0.15867,            0.021599,             0.49396,             0.22784,             0.13827,             0.06007,            0.055668,             0.14797,              0.0411,           0.0075177,           0.0075177,           0.0075177
                  90,            0.048415,             0.15937,            0.021909,             0.52372,             0.18653,             0.14074,            0.061885,            0.054998,             0.14775,            0.041471,            0.007467,            0.007467,            0.007467
                  91,            0.048404,             0.15997,            0.021874,             0.62302,             0.16601,             0.14419,            0.063819,            0.053853,             0.14653,            0.039761,            0.007416,            0.007416,            0.007416
                  92,             0.04814,             0.16047,            0.021806,             0.49942,             0.22646,             0.14876,            0.064714,            0.054345,             0.14643,            0.040837,           0.0073647,           0.0073647,           0.0073647
                  93,            0.048352,             0.16255,            0.021686,             0.49552,             0.21846,             0.14508,            0.063772,            0.055176,             0.15007,             0.04105,           0.0073131,           0.0073131,           0.0073131
                  94,            0.047975,             0.15725,            0.021467,             0.51382,             0.21013,             0.14337,            0.061489,            0.056103,             0.14857,             0.04146,           0.0072612,           0.0072612,           0.0072612
                  95,            0.048163,             0.16111,            0.021562,             0.50658,              0.1864,               0.141,            0.059893,            0.055745,             0.14796,            0.041392,            0.007209,            0.007209,            0.007209
                  96,            0.047874,             0.16013,            0.021791,             0.50373,             0.19566,             0.13316,            0.057118,            0.056592,             0.15084,            0.042516,           0.0071566,           0.0071566,           0.0071566
                  97,            0.047431,             0.15745,            0.021863,             0.50448,             0.23044,             0.14448,            0.064068,            0.054795,             0.14728,            0.040215,           0.0071039,           0.0071039,           0.0071039
                  98,            0.047469,             0.15804,            0.021253,               0.549,              0.1966,             0.14843,            0.064998,            0.054852,             0.14937,            0.040572,           0.0070509,           0.0070509,           0.0070509
                  99,            0.047718,             0.15886,            0.020847,             0.54732,             0.18916,             0.14266,            0.063882,            0.054798,             0.14864,            0.040959,           0.0069977,           0.0069977,           0.0069977
                 100,            0.047372,             0.15745,            0.020835,             0.54696,             0.19027,             0.14316,            0.062066,            0.055482,             0.14859,            0.041335,           0.0069442,           0.0069442,           0.0069442
                 101,            0.047046,             0.15803,            0.020921,             0.49496,               0.237,             0.14555,            0.063488,            0.054608,             0.14904,            0.041279,           0.0068906,           0.0068906,           0.0068906
                 102,            0.047273,             0.16226,             0.02074,             0.48978,             0.20075,             0.13802,            0.060481,              0.0552,             0.14988,            0.042069,           0.0068367,           0.0068367,           0.0068367
                 103,            0.047569,             0.15775,            0.020926,             0.50531,             0.17841,             0.13207,            0.057989,            0.055879,              0.1507,            0.043221,           0.0067826,           0.0067826,           0.0067826
                 104,            0.047463,             0.15896,            0.020826,             0.52252,             0.19247,             0.13674,            0.059397,            0.055807,             0.15033,            0.041685,           0.0067283,           0.0067283,           0.0067283
                 105,            0.047072,             0.15789,            0.020493,             0.52115,             0.20017,             0.13819,            0.061757,            0.054725,             0.14948,            0.042285,           0.0066738,           0.0066738,           0.0066738
                 106,            0.047132,             0.15578,            0.020615,             0.54006,             0.18146,             0.13627,            0.061819,            0.054504,             0.14824,            0.043062,           0.0066191,           0.0066191,           0.0066191
                 107,            0.047131,             0.15681,            0.020424,             0.51963,             0.19147,             0.13317,            0.058346,            0.055889,             0.14913,            0.042637,           0.0065642,           0.0065642,           0.0065642
                 108,             0.04712,             0.16083,             0.02066,             0.53403,             0.18793,              0.1377,             0.06011,            0.055449,              0.1523,            0.043006,           0.0065092,           0.0065092,           0.0065092
                 109,            0.046755,             0.15549,            0.020428,             0.50534,             0.19255,             0.13516,            0.058081,            0.056582,             0.14886,             0.04383,            0.006454,            0.006454,            0.006454
                 110,            0.047059,             0.15953,            0.020271,               0.516,             0.18271,             0.13619,            0.060334,            0.055269,             0.15273,            0.041719,           0.0063987,           0.0063987,           0.0063987
                 111,            0.047109,             0.15875,            0.019987,             0.51547,             0.18472,             0.13853,            0.060749,            0.054782,             0.15161,            0.043101,           0.0063432,           0.0063432,           0.0063432
                 112,            0.046746,              0.1545,            0.020341,             0.50629,             0.19461,             0.12974,            0.056078,             0.05646,             0.15226,             0.04524,           0.0062876,           0.0062876,           0.0062876
                 113,              0.0468,             0.15758,            0.020206,             0.49308,             0.22929,             0.13755,            0.060414,            0.055073,             0.15067,            0.045153,           0.0062319,           0.0062319,           0.0062319
                 114,            0.046196,             0.15454,            0.020397,             0.49063,             0.20615,             0.14573,            0.065137,            0.055184,             0.15204,             0.04235,            0.006176,            0.006176,            0.006176
                 115,            0.046981,             0.15784,            0.019798,             0.50196,             0.19624,             0.13341,            0.058561,            0.055698,             0.15274,            0.043131,           0.0061201,           0.0061201,           0.0061201
                 116,            0.046911,             0.15621,            0.020145,             0.51254,             0.17705,             0.13385,            0.058558,            0.055976,              0.1513,            0.044276,            0.006064,            0.006064,            0.006064
                 117,            0.046173,             0.15475,            0.020386,             0.55825,              0.1703,             0.13254,            0.059114,            0.055845,             0.15269,            0.043313,           0.0060079,           0.0060079,           0.0060079
                 118,            0.047089,             0.15714,            0.019623,             0.50334,             0.18907,             0.12757,            0.055815,            0.056279,             0.15196,            0.044752,           0.0059516,           0.0059516,           0.0059516
                 119,            0.046491,             0.15402,            0.019446,             0.51745,             0.19972,             0.13449,            0.058289,            0.055604,             0.15352,            0.044588,           0.0058953,           0.0058953,           0.0058953
                 120,            0.046212,             0.15598,            0.019914,             0.52539,             0.17958,             0.12943,            0.055734,            0.056501,             0.15545,            0.044237,            0.005839,            0.005839,            0.005839
                 121,            0.046494,             0.15864,            0.019503,             0.50797,             0.20018,             0.13626,            0.059373,            0.055823,             0.15465,            0.044456,           0.0057826,           0.0057826,           0.0057826
                 122,            0.046044,             0.15177,            0.019378,             0.60744,             0.17251,             0.13539,            0.059044,            0.055493,              0.1517,            0.044264,           0.0057261,           0.0057261,           0.0057261
                 123,            0.045985,             0.15649,            0.019488,             0.49849,             0.20484,             0.13838,            0.060184,            0.055755,             0.15411,            0.045008,           0.0056696,           0.0056696,           0.0056696
                 124,            0.046509,              0.1563,            0.019478,             0.49969,             0.20288,             0.13918,            0.058929,             0.05583,             0.15543,             0.04398,           0.0056131,           0.0056131,           0.0056131
                 125,            0.046145,             0.15365,            0.019258,             0.50023,             0.18207,             0.13691,            0.059648,            0.055464,             0.15259,            0.044636,           0.0055565,           0.0055565,           0.0055565
                 126,            0.045524,             0.15362,             0.01903,             0.52331,             0.17894,              0.1344,            0.059308,            0.054808,             0.15426,             0.04579,              0.0055,              0.0055,              0.0055
                 127,            0.046387,             0.15396,            0.018594,             0.50232,             0.19113,             0.13374,            0.058866,            0.055484,             0.15542,            0.044796,           0.0054435,           0.0054435,           0.0054435
