    25/299     1.84G   0.06414    0.1638   0.01959    0.2476       136       416    0.4864    0.4806    0.4232    0.1459   0.05924     0.131   0.01793
    26/299     1.84G   0.06435    0.1679   0.01957    0.2518       238       416    0.4931    0.4852    0.4209    0.1512   0.05847    0.1287    0.0179
    27/299     1.84G    0.0638    0.1628   0.01957    0.2462       184       416    0.5022    0.4624    0.4026    0.1402   0.05964    0.1302   0.01805
    28/299     1.84G   0.06338    0.1606   0.01912    0.2431       119       416    0.5089    0.4616    0.4097    0.1465   0.05869    0.1293   0.01774
    29/299     1.84G   0.06376    0.1642   0.01907     0.247       223       416    0.5055    0.4803    0.4226    0.1518   0.05806    0.1287   0.01779
    30/299     1.84G   0.06341    0.1643   0.01937     0.247       141       416    0.4652    0.4754    0.3973     0.137   0.05969    0.1309   0.01841
    31/299     1.84G   0.06304    0.1646   0.01895    0.2466       174       416     0.515     0.489    0.4293     0.158   0.05751    0.1283   0.01747
    32/299     1.84G   0.06317    0.1641   0.01904    0.2463       309       416     0.484    0.4931    0.4177    0.1513   0.05844    0.1282   0.01769
    33/299     1.84G   0.06293    0.1641   0.01893    0.2459       243       416    0.4992    0.4978    0.4327    0.1642   0.05705    0.1277   0.01762
    34/299     1.84G   0.06271    0.1632   0.01892    0.2448       219       416    0.5372    0.4876    0.4455    0.1646   0.05751     0.128   0.01758
    35/299     1.84G   0.06229     0.162   0.01912    0.2434       200       416    0.5264    0.4993    0.4444    0.1716   0.05617    0.1263   0.01751
    36/299     1.84G   0.06226    0.1626   0.01878    0.2437       133       416    0.5287    0.5035    0.4551    0.1733   0.05637     0.127   0.01742
    37/299     1.84G    0.0618    0.1622   0.01869    0.2426       184       416     0.515    0.5184    0.4532     0.178   0.05572    0.1243   0.01739
    38/299     1.84G   0.06167    0.1617    0.0186     0.242       205       416    0.5329    0.5003    0.4496    0.1774   0.05613    0.1254   0.01747
    39/299     1.84G   0.06184    0.1622   0.01864    0.2427       147       416    0.5134    0.5085     0.445    0.1732   0.05616    0.1262   0.01749
    40/299     1.84G   0.06133    0.1606   0.01859    0.2405       167       416    0.5052    0.5028     0.441    0.1718   0.05614    0.1269   0.01724
    41/299     1.84G    0.0612    0.1612   0.01854    0.2409       197       416    0.5297    0.5005    0.4578    0.1779   0.05586    0.1253   0.01726
    42/299     1.84G   0.06078    0.1581   0.01835    0.2372       178       416    0.5221    0.5227     0.467    0.1803   0.05581    0.1263   0.01679
    43/299     1.84G   0.06071    0.1584   0.01843    0.2375       219       416     0.529     0.506     0.457    0.1796    0.0557     0.126   0.01712
    44/299     1.84G   0.06105    0.1612   0.01853    0.2407       244       416    0.5146    0.4901    0.4346     0.165   0.05703    0.1277   0.01777
    45/299     1.84G   0.06061    0.1604   0.01836    0.2393       235       416    0.5324    0.5044    0.4624    0.1805   0.05558    0.1254   0.01738
    46/299     1.84G   0.06029    0.1606   0.01804    0.2389       221       416    0.5284    0.5192    0.4657    0.1842   0.05517    0.1249     0.017
    47/299     1.84G   0.06026    0.1602   0.01799    0.2385       136       416    0.5365    0.5197     0.466    0.1783   0.05578    0.1256   0.01704
    48/299     1.84G    0.0604    0.1604    0.0183    0.2391       200       416    0.5404    0.5034    0.4667    0.1856   0.05505    0.1249   0.01701
    49/299     1.84G   0.05996      0.16   0.01782    0.2378       174       416    0.5301    0.5261    0.4733    0.1849   0.05528    0.1249   0.01711
